latitude,longitude,albedo,albedo_std,points_reussis,points_total
-75.6761,-165.6761,0.5914,0.1255,3,3
-75.6761,-137.0282,0.7345,0.0342,3,3
-75.6761,-108.3803,0.7577,0.0205,3,3
-75.6761,-79.7324,0.7614,0.0207,3,3
-75.6761,-51.0845,0.7423,0.0187,3,3
-75.6761,-22.4366,0.7612,0.0134,3,3
-75.6761,6.2113,0.7669,0.0111,3,3
-75.6761,34.8592,0.7673,0.015,3,3
-75.6761,63.5071,0.7456,0.0103,3,3
-75.6761,92.155,0.7696,0.0136,3,3
-75.6761,120.8028,0.7632,0.0057,3,3
-75.6761,149.4507,0.7531,0.0111,3,3
-75.6761,178.0986,0.5243,0.1457,2,3
-47.0282,-165.6761,0.0608,0.0011,3,3
-47.0282,-137.0282,0.0612,0.0019,3,3
-47.0282,-108.3803,0.0602,0.0013,3,3
-47.0282,-79.7324,0.0622,0.0006,3,3
-47.0282,-51.0845,0.0619,0.0019,3,3
-47.0282,-22.4366,0.0667,0.0114,3,3
-47.0282,6.2113,0.1352,0.0559,3,3
-47.0282,34.8592,0.0758,0.0234,3,3
-47.0282,63.5071,0.0598,0.0012,3,3
-47.0282,92.155,0.0607,0.0022,3,3
-47.0282,120.8028,0.0603,0.0006,3,3
-47.0282,149.4507,0.0608,0.0007,3,3
-47.0282,178.0986,0.0605,0.0007,2,3
-18.3803,-165.6761,0.0548,0.0012,3,3
-18.3803,-137.0282,0.055,0.0011,3,3
-18.3803,-108.3803,0.0548,0.0017,3,3
-18.3803,-79.7324,0.0889,0.0489,3,3
-18.3803,-51.0845,0.119,0.0451,3,3
-18.3803,-22.4366,0.0543,0.0018,3,3
-18.3803,6.2113,0.0993,0.0645,3,3
-18.3803,34.8592,0.1117,0.0392,3,3
-18.3803,63.5071,0.0543,0.0018,3,3
-18.3803,92.155,0.0542,0.0015,3,3
-18.3803,120.8028,0.0903,0.0521,3,3
-18.3803,149.4507,0.1233,0.0982,3,3
-18.3803,178.0986,0.0542,0.0012,2,3
10.2676,-165.6761,0.0488,0.0019,3,3
10.2676,-137.0282,0.0497,0.0021,3,3
10.2676,-108.3803,0.0509,0.0015,3,3
10.2676,-79.7324,0.082,0.0413,3,3
10.2676,-51.0845,0.0732,0.0324,3,3
10.2676,-22.4366,0.0504,0.0008,3,3
10.2676,6.2113,0.1072,0.0417,3,3
10.2676,34.8592,0.1003,0.0365,3,3
10.2676,63.5071,0.0505,0.0006,3,3
10.2676,92.155,0.0647,0.028,3,3
10.2676,120.8028,0.0826,0.0419,3,3
10.2676,149.4507,0.0511,0.0013,3,3
10.2676,178.0986,0.0498,0.0013,2,3
38.9155,-165.6761,0.0556,0.0012,3,3
38.9155,-137.0282,0.0564,0.001,3,3
38.9155,-108.3803,0.1304,0.0635,3,3
38.9155,-79.7324,0.0855,0.0426,3,3
38.9155,-51.0845,0.0556,0.0006,3,3
38.9155,-22.4366,0.0577,0.0014,3,3
38.9155,6.2113,0.2361,0.1225,3,3
38.9155,34.8592,0.3397,0.078,3,3
38.9155,63.5071,0.2089,0.0147,3,3
38.9155,92.155,0.1779,0.078,3,3
38.9155,120.8028,0.0731,0.0223,3,3
38.9155,149.4507,0.0552,0.0008,3,3
38.9155,178.0986,0.0559,0.0014,2,3
67.5634,-165.6761,0.1838,0.1022,3,3
67.5634,-137.0282,0.2364,0.1254,3,3
67.5634,-108.3803,0.2904,0.1112,3,3
67.5634,-79.7324,0.3819,0.0543,3,3
67.5634,-51.0845,0.2198,0.1136,3,3
67.5634,-22.4366,0.0665,0.0024,3,3
67.5634,6.2113,0.0838,0.0219,3,3
67.5634,34.8592,0.1959,0.0359,3,3
67.5634,63.5071,0.2226,0.014,3,3
67.5634,92.155,0.2252,0.0578,3,3
67.5634,120.8028,0.2823,0.026,3,3
67.5634,149.4507,0.305,0.0212,3,3
67.5634,178.0986,0.2391,0.1746,2,3
96.2113,-165.6761,0.6504,0.0099,2,3
96.2113,-137.0282,0.6493,0.0079,2,3
96.2113,-108.3803,0.6442,0.0016,2,3
96.2113,-79.7324,0.643,0.0068,2,3
96.2113,-51.0845,0.6407,0.0055,2,3
96.2113,-22.4366,0.6341,0.0076,2,3
96.2113,6.2113,0.6349,0.0049,2,3
96.2113,34.8592,0.6252,0.0029,2,3
96.2113,63.5071,0.5977,0.0172,2,3
96.2113,92.155,0.5439,0.0118,2,3
96.2113,120.8028,0.5712,0.0229,2,3
96.2113,149.4507,0.6186,0.0172,2,3
96.2113,178.0986,0.6319,0,1,3
